Brand Name,Rating,MRP,Ram_size,Ram_type,Operating system,Disk_type,Disk_size
2,4.6,154990,1,0,0,1,1
2,4.4,65990,4,0,0,1,4
2,4.3,196990,1,1,1,1,1
6,4.2,38705,4,0,1,1,4
3,4.3,49348,4,0,1,1,4
3,4.3,221774,1,1,1,1,1
6,4.0,73990,4,0,0,1,4
3,4.3,77990,1,0,1,1,1
2,4.6,85990,1,0,1,1,1
6,4.2,35590,4,0,1,1,4
1,4.1,214790,1,0,0,1,1
1,4.9,199990,1,0,0,1,1
2,4.9,150990,1,0,1,1,1
6,4.2,36990,4,0,1,1,4
3,4.3,48077,4,0,1,1,4
3,4.3,52414,4,0,1,1,4
2,5.0,179990,1,1,1,1,1
6,4.2,36990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
3,4.3,80615,1,0,1,1,1
2,4.3,155990,1,1,1,1,1
10,4.1,39990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
6,4.6,157990,1,0,1,1,1
2,4.3,92990,1,1,1,1,1
2,4.3,171990,1,1,1,1,1
6,4.2,38705,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
2,3.9,44990,4,0,0,0,4
2,4.3,151990,1,4,1,1,1
6,4.2,35590,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
2,4.3,233990,1,2,0,1,1
3,4.3,76590,1,1,1,1,1
5,4.6,90000,1,0,0,1,1
6,4.5,73490,4,0,1,1,4
2,4.3,194990,1,1,1,1,1
2,3.0,125990,1,4,1,1,1
6,4.2,50990,4,0,0,0,4
